ID,Label
1,0
2,0
3,0
4,2
5,3
6,0
7,0
8,2
9,0
10,1
11,2
12,1
13,4
14,3
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,3
24,0
25,0
26,0
27,0
28,2
29,0
30,1
31,2
32,2
33,2
34,0
35,0
36,0
37,0
38,0
39,2
40,2
41,0
42,4
43,0
44,3
45,2
46,0
47,2
48,4
49,0
50,1
51,0
52,2
53,2
54,0
55,0
56,1
57,3
58,0
59,0
60,3
61,2
62,0
63,0
64,0
65,0
66,2
67,0
68,2
69,2
70,3
71,0
72,0
73,0
74,2
75,0
76,0
77,0
78,2
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,3
90,0
91,1
92,2
93,0
94,1
95,1
96,0
97,2
98,0
99,0
100,4
101,0
102,3
103,0
104,0
105,4
106,1
107,0
108,0
109,0
110,0
111,1
112,3
113,0
114,3
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,1
127,2
128,3
129,3
130,0
131,0
132,1
133,0
134,1
135,2
136,3
137,1
138,2
139,4
140,1
141,0
142,0
143,1
144,0
145,1
146,3
147,0
148,2
149,0
150,0
151,1
152,0
153,2
154,0
155,4
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,2
165,1
166,2
167,0
168,3
169,2
170,0
171,1
172,0
173,4
174,1
175,0
176,2
177,0
178,0
179,4
180,0
181,0
182,2
183,0
184,0
185,0
186,2
187,0
188,2
189,2
190,3
191,3
192,4
193,1
194,0
195,0
196,2
197,4
198,3
199,0
200,0
201,1
202,0
203,1
204,0
205,2
206,0
207,1
208,0
209,0
210,3
211,0
212,3
213,1
214,0
215,0
216,1
217,0
218,0
219,2
220,3
221,0
222,1
223,0
224,1
225,3
226,1
227,0
228,0
229,1
230,0
231,0
232,3
233,0
234,0
235,2
236,3
237,1
238,2
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,3
249,3
250,0
251,1
252,0
253,3
254,3
255,0
256,0
257,2
258,0
259,0
260,2
261,3
262,2
263,1
264,3
265,1
266,2
267,4
268,0
269,0
270,0
271,2
272,2
273,3
274,2
275,0
276,2
277,3
278,3
279,0
280,1
281,2
282,2
283,1
284,2
285,0
286,3
287,1
288,0
289,4
290,3
291,2
292,0
293,1
294,0
295,0
296,2
297,1
298,4
299,0
300,4
301,0
302,0
303,1
304,3
305,0
306,0
307,0
308,3
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,4
320,2
321,2
322,0
323,2
324,0
325,2
326,4
327,0
328,4
329,2
330,2
331,2
332,2
333,2
334,0
335,0
336,2
337,2
338,3
339,0
340,0
341,3
342,3
343,0
344,4
345,0
346,0
347,3
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,1
361,2
362,0
363,1
364,0
365,0
366,3
367,0
368,1
369,2
370,3
371,0
372,0
373,0
374,2
375,0
376,1
377,2
378,0
379,2
380,0
381,0
382,0
383,3
384,1
385,0
386,0
387,0
388,0
389,3
390,0
391,0
392,0
393,0
394,1
395,0
396,2
397,2
398,2
399,0
400,3
